"","04_09_15","07_10_15","042815_Daily","042815_Daily.1","04_09_15.1","04_09_15.2","050715_daily","050815_daily","03262015_QC_with","061025015","06232015","06302015","07222015_","042815_"
"SSC NA",10.4988757373411,11.121678280581,10.9063298291981,10.9063298291981,10.4865562733499,10.4865562733499,11.0159611032794,10.5990502731022,10.3593510859378,10.8085810626703,10.9894152249135,9.94837796538946,11.3923180022573,10.9063298291981
"FSC NA",4.67503411572052,4.19454291764799,2.84541631799163,2.84541631799163,4.67069868995633,4.67069868995633,4.55313300848222,3.86401002705714,2.88303531142717,2.35204595185996,3.29870961749061,3.04961542945977,2.71587041070317,2.84541631799163
"379/34 (355) BUV395",1.50517766497462,1.50517766497462,1.49757575757576,1.49757575757576,1.50517766497462,1.50517766497462,1.14046153846154,1.14634020618557,1.12888324873096,1.51285714285714,1.14634020618557,1.8719696969697,1.50517766497462,1.49757575757576
"670/30 (355) Hoescht Blue",1.19564516129032,1.19564516129032,1.19564516129032,1.19564516129032,1.19564516129032,1.19564516129032,1.19564516129032,1.19564516129032,1.19564516129032,1.19564516129032,1.19564516129032,1.19564516129032,1.19564516129032,1.19564516129032
"520/35 (405) AmCyan/V500",4.05646995708154,2.41169427002428,4.55625930764206,4.55625930764206,4.05646995708154,4.05646995708154,3.46302688738235,3.55689795784502,3.75265350736192,2.38507470184789,3.19700914522356,3.91801671868034,2.88161127596439,4.55625930764206
"460/50 (405) Pacific Blue",3.568199003188,2.69857187305538,4.18983093774353,4.18983093774353,3.568199003188,3.568199003188,3.16668480328742,3.07214782475154,3.28815405334955,2.31003668682986,2.75372075413722,3.84645350777652,2.76250942561778,4.18983093774353
"530/40 (488) FITC",2.57912581619725,2.02202375714914,2.60190302560124,2.60190302560124,2.5782951813752,2.57912581619725,2.95984370353237,2.64338897515528,2.26952384700142,1.72312321472067,1.77890518880739,1.99805936248845,2.24227040816327,2.60190302560124
"580/30 (488) PE",2.6060981488938,2.08530027476122,2.54221368220826,2.54221368220826,2.59921277151439,2.6060981488938,3.18231796393517,2.81980495111433,2.30895912800497,1.84502455396379,1.85681442053943,2.04114332603939,2.26492553226935,2.54221368220826
"610/20 (561) PE-TR",3.45118387364921,2.91684372940918,2.94746887411308,2.94746887411308,3.45118387364921,3.45118387364921,2.85304524246512,3.31594776259541,2.95817526568105,2.92489921833831,2.86595513985937,2.73560581804625,2.98875474293829,2.94746887411308
"585/29 (561) PE",3.28027152805678,2.76387104293389,2.69368441840563,2.69368441840563,3.28027152805678,3.28027152805678,2.64764683045865,2.9785065748278,2.58161099047937,2.45764249888542,2.44938617975071,2.38936666340541,2.56664272169548,2.69368441840563
"710/50 (561) PE-Cy5.5",3.86004960741154,3.54100709878591,3.21581684174856,3.21581684174856,3.86004960741154,3.86004960741154,3.37560191209227,3.88782960199005,3.18473648935457,3.0177662195607,2.94005965517995,2.58379104808331,3.06056532071834,3.21581684174856
"670/30 (561) PE-Cy5",3.80244888184191,3.43993014926701,3.31132708984461,3.31132708984461,3.80244888184191,3.80244888184191,3.4298856527993,3.73605896195581,3.4706929389904,3.03424661498144,3.15856054499884,2.75110357864546,3.40864557257768,3.31132708984461
"750 LP (561) PE-Cy7",4.88173170731707,4.26692881933076,4.12309971066103,4.12309971066103,4.88173170731707,4.88173170731707,4.48658335138648,4.84144573982103,3.94873138362421,3.83873673794734,3.88202695848724,3.16213545886526,4.58039295514868,4.12309971066103
"720/40 (640) AF700",2.61532226161597,2.37865779690863,2.44588625753744,2.44588625753744,2.61532226161597,2.61532226161597,2.65980786350148,2.85603595890411,2.26668117967015,2.179596148637,2.22028857625771,2.20037871033777,1.82031780902168,2.44588625753744
"670/30 (640) APC",2.77670143603918,2.53625630747465,2.51232223159078,2.51232223159078,2.77670143603918,2.77670143603918,2.46724821054154,2.85348678359244,2.40126559779454,2.26433003371351,2.38451768023718,2.33018802429852,1.99506007151371,2.51232223159078
"750 LP (640) APC-Cy7",2.81621658493418,2.60252394114697,2.55671829910032,2.55671829910032,2.81621658493418,2.81621658493418,2.67153059730627,3.15211825908558,2.48672222768142,2.41001768008166,2.43833305033354,2.3827532761629,2.00268155059967,2.55671829910032
